Date,AAPL,AMZN,GOOGL,MSFT
2022-03-17,157.67294311523438,157.23899841308594,132.92222595214844,286.7762451171875
2022-03-18,160.9713134765625,161.25050354003906,135.19305419921875,291.83721923828125
2022-03-21,162.34561157226562,161.4915008544922,135.1692352294922,290.6035461425781
2022-03-22,165.72251892089844,164.88900756835938,138.90992736816406,295.3634033203125
2022-03-23,167.0869903564453,163.4080047607422,137.32833862304688,290.9241027832031
2022-03-24,170.87615966796875,163.64950561523438,140.6022491455078,295.4022216796875
2022-03-25,171.51422119140625,164.77349853515625,140.7025604248047,294.9942626953125
2022-03-28,172.3780975341797,168.99049377441406,140.48654174804688,301.8134765625
2022-03-29,175.67645263671875,169.31500244140625,141.5293731689453,306.3887634277344
2022-03-30,174.50823974609375,166.30099487304688,140.96624755859375,304.88311767578125
2022-03-31,171.40625,162.99749755859375,138.11489868164062,299.4918212890625
2022-04-01,171.1117706298828,163.55999755859375,139.1904754638672,300.57012939453125
2022-04-04,175.16600036621094,168.34649658203125,141.99217224121094,305.96136474609375
2022-04-05,171.84799194335938,164.05499267578125,139.62799072265625,301.98828125
2022-04-06,168.67726135253906,158.75599670410156,135.61264038085938,290.933837890625
2022-04-07,168.9815673828125,157.7845001220703,134.9576873779297,292.7503662109375
2022-04-08,166.9691925048828,154.4604949951172,132.37451171875,288.4762268066406
2022-04-11,162.70883178710938,151.1219940185547,127.94107818603516,277.1010437011719
2022-04-12,164.5837860107422,150.78750610351562,126.83966827392578,273.9926452636719
2022-04-13,167.27349853515625,155.54100036621094,129.00424194335938,279.3935852050781
2022-04-14,162.25726318359375,151.7064971923828,125.86192321777344,271.826416015625
